timestamp,test_distance,target_id,x_mm,y_mm,z_mm
1777927757.421504,0.5m,0,-80,5,528
1777927757.474611,0.5m,0,-80,5,527
1777927757.5312269,0.5m,0,-80,5,527
1777927757.587393,0.5m,0,-81,5,530
1777927757.638231,0.5m,0,-80,5,529
1777927757.692152,0.5m,0,-81,5,528
1777927757.747607,0.5m,0,-81,5,528
1777927757.798514,0.5m,0,-80,5,527
1777927757.854979,0.5m,0,-80,5,528
1777927757.907249,0.5m,0,-79,5,525
1777927757.964525,0.5m,0,-80,5,529
1777927758.01958,0.5m,0,-81,5,530
1777927758.066565,0.5m,0,-80,5,530
1777927758.122171,0.5m,0,-80,5,529
1777927758.177431,0.5m,0,-80,5,529
1777927758.23169,0.5m,0,-80,5,527
1777927758.2870011,0.5m,0,-79,5,525
1777927758.335659,0.5m,0,-80,5,528
1777927758.387723,0.5m,0,-80,5,526
1777927758.44861,0.5m,0,-80,5,528
1777927758.498871,0.5m,0,-80,5,525
1777927758.553525,0.5m,0,-79,5,525
1777927758.6045609,0.5m,0,-80,5,527
1777927758.6587882,0.5m,0,-80,5,526
1777927758.714358,0.5m,0,-80,5,530
1777927758.7659252,0.5m,0,-80,5,527
1777927758.819177,0.5m,0,-79,5,523
1777927758.87259,0.5m,0,-81,5,529
1777927758.925929,0.5m,0,-79,5,521
1777927758.981504,0.5m,0,-80,5,531
1777927759.032594,0.5m,0,-80,5,529
1777927759.08574,0.5m,0,-80,5,531
1777927759.139617,0.5m,0,-80,5,528
1777927759.1952698,0.5m,0,-80,5,528
1777927759.2478662,0.5m,0,-79,5,525
1777927759.3003578,0.5m,0,-80,5,527
1777927759.3527849,0.5m,0,-81,5,528
1777927759.4074361,0.5m,0,-80,5,529
1777927759.461015,0.5m,0,-81,5,530
1777927759.517388,0.5m,0,-81,5,532
1777927759.56572,0.5m,0,-80,5,527
1777927759.620959,0.5m,0,-79,5,525
1777927759.672954,0.5m,0,-80,5,529
1777927759.729044,0.5m,0,-80,5,527
1777927759.784393,0.5m,0,-80,5,530
1777927759.8327732,0.5m,0,-80,5,528
1777927759.887541,0.5m,0,-81,5,529
1777927759.9406762,0.5m,0,-81,5,528
1777927759.9952362,0.5m,0,-80,5,526
1777927760.051321,0.5m,0,-81,5,528
1777927760.099413,0.5m,0,-81,5,530
1777927760.156849,0.5m,0,-80,6,528
1777927760.211572,0.5m,0,-81,5,533
1777927760.2650418,0.5m,0,-80,5,530
1777927760.31937,0.5m,0,-80,5,529
1777927760.3704472,0.5m,0,-81,5,529
1777927760.425208,0.5m,0,-80,5,530
1777927760.4804292,0.5m,0,-80,4,528
1777927760.531465,0.5m,0,-78,4,527
1777927760.586671,0.5m,0,-80,5,529
1777927760.639162,0.5m,0,-79,5,531
1777927760.693821,0.5m,0,-78,5,528
1777927760.750129,0.5m,0,-79,5,530
1777927760.799648,0.5m,0,-78,5,528
1777927760.8517592,0.5m,0,-79,5,529
1777927760.905617,0.5m,0,-78,5,526
1777927760.961184,0.5m,0,-78,5,527
1777927761.018029,0.5m,0,-78,5,528
1777927761.067363,0.5m,0,-78,4,529
1777927761.12001,0.5m,0,-78,5,529
1777927761.174952,0.5m,0,-78,5,527
1777927761.2317371,0.5m,0,-77,5,526
1777927761.28615,0.5m,0,-77,5,526
1777927761.3356102,0.5m,0,-77,4,525
1777927761.386622,0.5m,0,-77,6,526
1777927761.449087,0.5m,0,-77,6,528
1777927761.497398,0.5m,0,-77,6,522
1777927761.5497768,0.5m,0,-78,6,528
1777927761.605555,0.5m,0,-78,5,527
1777927761.6564329,0.5m,0,-77,6,526
1777927761.712659,0.5m,0,-78,5,528
1777927761.7644439,0.5m,0,-77,5,525
1777927761.81887,0.5m,0,-77,6,525
1777927761.868573,0.5m,0,-77,5,524
1777927761.921449,0.5m,0,-77,6,526
1777927761.981853,0.5m,0,-76,5,518
1777927762.032084,0.5m,0,-77,5,525
1777927762.083022,0.5m,0,-77,6,526
1777927762.140597,0.5m,0,-78,5,528
1777927762.194147,0.5m,0,-77,5,526
1777927762.250731,0.5m,0,-77,5,526
1777927762.299414,0.5m,0,-77,5,525
1777927762.352108,0.5m,0,-78,5,528
1777927762.406021,0.5m,0,-78,6,529
1777927762.457713,0.5m,0,-78,6,525
1777927762.5275662,0.5m,0,-78,5,527
1777927762.5662348,0.5m,0,-79,5,528
1777927762.6185899,0.5m,0,-79,5,530
1777927762.674457,0.5m,0,-80,5,527
1777927762.728039,0.5m,0,-79,5,528
1777927762.783166,0.5m,0,-80,5,533
1777927762.832778,0.5m,0,-80,5,533
1777927762.886053,0.5m,0,-80,5,532
1777927762.940767,0.5m,0,-78,5,527
1777927762.99722,0.5m,0,-78,6,530
1777927763.0503192,0.5m,0,-77,6,523
1777927763.09846,0.5m,0,-78,5,527
1777927763.153041,0.5m,0,-78,7,528
1777927763.208064,0.5m,0,-78,6,527
1777927763.262989,0.5m,0,-77,6,530
1777927763.318937,0.5m,0,-78,6,530
1777927763.36848,0.5m,0,-77,6,527
1777927763.426301,0.5m,0,-78,6,529
1777927763.483829,0.5m,0,-78,6,528
1777927763.531494,0.5m,0,-78,6,527
1777927763.584577,0.5m,0,-77,6,525
1777927763.639822,0.5m,0,-77,5,525
1777927763.692681,0.5m,0,-77,6,526
1777927763.750025,0.5m,0,-78,6,529
1777927763.7984262,0.5m,0,-77,6,526
1777927763.8523772,0.5m,0,-77,6,525
1777927763.907027,0.5m,0,-77,6,525
1777927763.958751,0.5m,0,-78,6,527
1777927764.0167959,0.5m,0,-77,6,523
1777927764.0660632,0.5m,0,-77,7,525
1777927764.1197371,0.5m,0,-77,5,525
1777927764.173683,0.5m,0,-77,7,525
1777927764.230345,0.5m,0,-77,7,525
1777927764.282478,0.5m,0,-77,6,526
1777927764.331823,0.5m,0,-77,6,526
1777927764.386772,0.5m,0,-77,5,526
1777927764.441113,0.5m,0,-77,7,525
1777927764.496852,0.5m,0,-77,6,525
1777927764.5518231,0.5m,0,-78,6,526
1777927764.6030989,0.5m,0,-78,6,528
1777927764.652591,0.5m,0,-80,6,526
1777927764.714837,0.5m,0,-78,6,525
1777927764.763375,0.5m,0,-78,7,523
1777927764.818756,0.5m,0,-78,7,524
1777927764.870076,0.5m,0,-78,7,523
1777927764.924308,0.5m,0,-78,7,522
1777927764.98316,0.5m,0,-78,7,525
1777927765.030984,0.5m,0,-80,7,528
1777927765.0833101,0.5m,0,-78,7,529
1777927765.1384692,0.5m,0,-78,6,528
1777927765.1953259,0.5m,0,-78,7,528
1777927765.2501829,0.5m,0,-77,7,520
1777927765.299705,0.5m,0,-78,5,526
1777927765.352465,0.5m,0,-78,7,526
1777927765.409524,0.5m,0,-77,6,526
1777927765.463617,0.5m,0,-78,6,527
1777927765.52021,0.5m,0,-78,6,525
1777927765.56941,0.5m,0,-78,6,526
1777927765.623945,0.5m,0,-78,6,528
1777927765.6790028,0.5m,0,-80,6,526
1777927765.73051,0.5m,0,-80,6,529
1777927765.785332,0.5m,0,-79,6,529
1777927765.8346372,0.5m,0,-78,6,528
1777927765.889218,0.5m,0,-78,6,528
1777927765.949504,0.5m,0,-78,6,526
1777927765.997343,0.5m,0,-78,7,525
1777927766.0513139,0.5m,0,-77,6,526
1777927766.103646,0.5m,0,-78,7,528
1777927766.157832,0.5m,0,-78,6,528
1777927766.215998,0.5m,0,-78,6,528
1777927766.264873,0.5m,0,-78,6,527
1777927766.319812,0.5m,0,-78,5,528
1777927766.372759,0.5m,0,-78,7,528
1777927766.429193,0.5m,0,-77,6,524
1777927766.4852412,0.5m,0,-78,7,528
1777927766.534789,0.5m,0,-77,7,526
1777927766.58544,0.5m,0,-78,6,527
1777927766.645167,0.5m,0,-77,7,524
1777927766.696712,0.5m,0,-77,6,525
1777927766.750336,0.5m,0,-78,7,527
1777927766.806184,0.5m,0,-77,7,525
1777927766.859122,0.5m,0,-78,6,529
1777927766.9162922,0.5m,0,-77,7,526
1777927766.966092,0.5m,0,-77,7,525
1777927767.0186088,0.5m,0,-78,7,527
1777927767.072316,0.5m,0,-77,7,525
1777927767.127717,0.5m,0,-77,7,526
1777927767.182818,0.5m,0,-78,7,527
1777927767.230978,0.5m,0,-77,6,526
1777927767.287242,0.5m,0,-77,6,524
1777927767.344631,0.5m,0,-77,6,522
1777927767.396651,0.5m,0,-77,7,525
1777927767.451818,0.5m,0,-78,7,528
1777927767.50474,0.5m,0,-77,6,525
1777927767.556652,0.5m,0,-78,7,529
1777927767.612375,0.5m,0,-78,6,527
1777927767.664656,0.5m,0,-78,7,529
1777927767.72041,0.5m,0,-78,7,529
1777927767.7708359,0.5m,0,-78,7,529
1777927767.824825,0.5m,0,-78,8,528
1777927767.8782852,0.5m,0,-78,8,528
1777927767.929773,0.5m,0,-77,7,523
1777927767.985931,0.5m,0,-78,7,529
1777927768.037482,0.5m,0,-78,7,525
1777927768.090993,0.5m,0,-78,7,529
1777927768.149272,0.5m,0,-78,6,527
1777927768.200146,0.5m,0,-77,8,524
1777927768.253033,0.5m,0,-78,6,527
1777927768.313604,0.5m,0,-78,7,528
1777927768.362947,0.5m,0,-77,6,525
1777927768.4150798,0.5m,0,-78,7,525
1777927768.472233,0.5m,0,-77,7,526
1777927768.5221388,0.5m,0,-78,6,528
1777927768.578337,0.5m,0,-79,6,529
1777927768.630501,0.5m,0,-78,7,525
1777927768.68589,0.5m,0,-78,7,528
1777927768.737715,0.5m,0,-78,7,529
1777927768.791392,0.5m,0,-79,6,531
1777927768.847998,0.5m,0,-79,7,529
1777927768.897148,0.5m,0,-79,7,529
1777927768.9579918,0.5m,0,-78,7,528
1777927769.007259,0.5m,0,-78,6,528
1777927769.059632,0.5m,0,-78,7,527
1777927769.1144729,0.5m,0,-78,7,528
1777927769.164659,0.5m,0,-78,6,528
1777927769.221056,0.5m,0,-78,7,530
1777927769.2717571,0.5m,0,-78,7,526
1777927769.3243399,0.5m,0,-78,7,526
1777927769.380043,0.5m,0,-79,8,531
1777927769.4316301,0.5m,0,-78,7,530
1777927769.486868,0.5m,0,-78,7,526
1777927769.5378308,0.5m,0,-79,8,530
1777927769.594387,0.5m,0,-78,7,530
1777927769.6474729,0.5m,0,-77,8,526
1777927769.698236,0.5m,0,-78,7,528
1777927769.758144,0.5m,0,-79,8,530
1777927769.805975,0.5m,0,-78,8,530
1777927769.8609438,0.5m,0,-78,8,526
1777927769.919671,0.5m,0,-78,8,532
1777927769.9666,0.5m,0,-77,7,525
1777927770.0254989,0.5m,0,-78,7,528
1777927770.073964,0.5m,0,-78,8,526
1777927770.1283379,0.5m,0,-78,7,531
1777927770.182954,0.5m,0,-78,7,527
1777927770.231752,0.5m,0,-77,6,526
1777927770.290922,0.5m,0,-78,8,527
1777927770.344026,0.5m,0,-78,7,532
1777927770.397634,0.5m,0,-77,8,525
1777927770.453449,0.5m,0,-78,8,532
1777927770.5010529,0.5m,0,-78,8,528
1777927770.559838,0.5m,0,-78,8,527
1777927770.615135,0.5m,0,-78,8,528
1777927770.664553,0.5m,0,-78,8,524
1777927770.721378,0.5m,0,-78,8,531
1777927770.774122,0.5m,0,-77,7,525
1777927770.827042,0.5m,0,-78,7,531
1777927770.881057,0.5m,0,-78,8,530
1777927770.932433,0.5m,0,-78,8,528
1777927770.986614,0.5m,0,-78,8,532
1777927771.041194,0.5m,0,-79,7,529
1777927771.0970109,0.5m,0,-78,8,530
1777927771.151107,0.5m,0,-78,8,530
1777927771.200872,0.5m,0,-79,8,532
1777927771.25669,0.5m,0,-78,7,527
1777927771.3098161,0.5m,0,-78,8,527
1777927771.364628,0.5m,0,-78,7,528
1777927771.421223,0.5m,0,-78,8,532
1777927771.470498,0.5m,0,-78,8,529
1777927771.524683,0.5m,0,-78,8,527
1777927771.5801961,0.5m,0,-78,8,528
1777927771.63248,0.5m,0,-78,8,528
1777927771.690148,0.5m,0,-78,7,533
1777927771.73959,0.5m,0,-77,7,525
1777927771.7960598,0.5m,0,-78,8,528
1777927771.8477912,0.5m,0,-78,8,532
1777927771.900352,0.5m,0,-79,7,530
1777927771.953964,0.5m,0,-79,7,530
1777927772.006408,0.5m,0,-78,7,531
1777927772.064163,0.5m,0,-79,8,531
1777927772.115829,0.5m,0,-78,7,533
1777927772.168103,0.5m,0,-78,8,532
1777927772.221502,0.5m,0,-78,8,529
1777927772.275352,0.5m,0,-77,8,526
1777927772.3313081,0.5m,0,-79,7,531
1777927772.384806,0.5m,0,-78,7,529
1777927885.2976909,1.0m,2,355,308,1069
1777927885.3516319,1.0m,2,352,309,1073
1777927885.403924,1.0m,2,347,310,1076
1777927885.456853,1.0m,2,347,311,1075
1777927885.515191,1.0m,2,350,310,1076
1777927885.5653079,1.0m,2,348,312,1080
1777927885.620126,1.0m,2,340,312,1080
1777927885.67611,1.0m,2,344,311,1076
1777927885.724285,1.0m,2,353,311,1080
1777927885.78301,1.0m,2,351,309,1075
1777927885.836169,1.0m,2,348,312,1078
1777927885.8920739,1.0m,2,353,312,1080
1777927885.947009,1.0m,2,355,312,1078
1777927885.9957561,1.0m,2,353,311,1076
1777927886.048408,1.0m,2,351,309,1070
1777927886.1040761,1.0m,2,350,311,1076
1777927886.156482,1.0m,2,349,313,1082
1777927886.21062,1.0m,2,349,313,1081
1777927886.263653,1.0m,2,347,311,1076
1777927886.31806,1.0m,2,348,311,1076
1777927886.3716621,1.0m,2,343,312,1078
1777927886.423598,1.0m,2,350,311,1075
1777927886.481438,1.0m,2,343,311,1077
1777927886.537062,1.0m,2,346,311,1076
1777927886.588948,1.0m,2,338,312,1079
1777927886.642408,1.0m,2,344,309,1070
1777927886.694433,1.0m,2,347,311,1077
1777927886.748265,1.0m,2,341,312,1079
1777927886.808824,1.0m,2,348,312,1078
1777927886.856565,1.0m,2,342,310,1074
1777927886.908586,1.0m,2,348,310,1074
1777927886.96316,1.0m,2,344,312,1079
1777927887.019617,1.0m,2,339,312,1078
1777927887.082031,1.0m,2,352,312,1079
1777927887.12448,1.0m,2,341,311,1075
1777927887.178496,1.0m,2,347,312,1075
1777927887.237922,1.0m,2,350,312,1079
1777927887.288414,1.0m,2,347,311,1075
1777927887.3446,1.0m,2,347,311,1076
1777927887.398164,1.0m,2,336,310,1073
1777927887.451165,1.0m,2,349,312,1078
1777927887.510006,1.0m,2,348,312,1080
1777927887.5557609,1.0m,2,336,312,1078
1777927887.614808,1.0m,2,345,312,1078
1777927887.66528,1.0m,2,341,310,1072
1777927887.7199109,1.0m,2,341,311,1076
1777927887.7757702,1.0m,2,340,312,1078
1777927887.8226938,1.0m,2,338,311,1076
1777927887.877866,1.0m,2,336,311,1077
1777927887.9326222,1.0m,2,347,311,1075
1777927887.9871302,1.0m,2,346,310,1072
1777927888.043124,1.0m,2,338,310,1074
1777927888.090549,1.0m,2,334,310,1073
1777927888.1476429,1.0m,2,343,310,1072
1777927888.200525,1.0m,2,341,311,1075
1777927888.2546072,1.0m,2,340,312,1078
1777927888.308953,1.0m,2,339,310,1078
1777927888.360117,1.0m,2,343,311,1076
1777927888.416959,1.0m,2,338,312,1079
1777927888.471012,1.0m,2,341,313,1081
1777927888.524512,1.0m,2,338,312,1079
1777927888.577523,1.0m,2,346,310,1072
1777927888.6300118,1.0m,2,345,310,1071
1777927888.682265,1.0m,2,339,311,1077
1777927888.7384388,1.0m,2,336,309,1070
1777927888.788678,1.0m,2,334,311,1076
1777927888.846148,1.0m,2,335,311,1075
1777927888.902348,1.0m,2,340,310,1072
